UID,area_in_hac,terrainCluster_ID,Terrain_Description,% of area hill_slope,% of area plain_area,% of area ridge_area,% of area slopy_area,% of area valley_area
12_305795,771.728343930717,3,Broad Plains and Slopes,11.131331320998,51.0165084436733,7.685622448172,17.2451901765348,12.9213476106219
12_307609,2116.44339257746,3,Broad Plains and Slopes,4.5976559256968,60.3490575139819,7.1442768336149,24.7333174440172,3.1756922826893
12_308492,1410.86473014679,3,Broad Plains and Slopes,3.4358263162202,60.8296850565607,5.5808783556586,26.636042690053,3.5175675815074
12_308948,1618.36847815922,1,Mostly Plains,1.0365814582039,81.1029741096895,2.6099625423283,10.8053118929234,4.4451699968549
12_309695,1554.51778389595,1,Mostly Plains,0.1029373080492,91.2126930398772,5.6302143032692,0.815280459705,2.2388748890994
12_312558,1850.15176875634,1,Mostly Plains,1.1395743741491,78.5543310965347,2.5106946451629,16.2162819475761,1.5791179365773
12_313014,1961.21862583525,1,Mostly Plains,0.1,80.5800145829218,4.5640920161932,12.2709790837603,2.4465189992923
12_313277,760.205696921545,1,Mostly Plains,0.3290586157431,78.7435597219287,1.1406729852868,19.2025479256647,0.5841607513767
12_314843,1620.68647393434,3,Broad Plains and Slopes,4.2110068380412,66.0314670407439,5.7620598136391,19.5062714845546,4.4891948230212
12_315140,2457.5898537417,3,Broad Plains and Slopes,4.3135215995224,58.5183229177023,7.2656008047653,26.1041743786013,3.7983802994088
12_317063,1782.29006474642,1,Mostly Plains,2.0640829095324,75.3279585346208,2.2620934024134,18.5248784243177,1.8209867291157
12_318533,2342.95656385651,1,Mostly Plains,0.8045748260956,76.1590925812808,8.0098381175147,12.2794552712694,2.7470392038393
12_318789,707.307987049069,3,Broad Plains and Slopes,6.3443159480788,60.5290675792148,7.6111649067934,21.495310047463,4.0201415184499
12_319549,2289.49823556785,1,Mostly Plains,0.1866328090689,78.5696693979455,6.3776467140949,11.4909066982809,3.3751443806094
12_319785,632.066083282124,3,Broad Plains and Slopes,9.5931657733132,45.4187412683865,11.6067592120897,25.0773509001617,8.3039828460489
12_320259,649.757598753579,1,Mostly Plains,0.0759298900468,82.4705440131765,3.3900709343507,13.5125662394204,0.5508889230057
12_320690,728.883149854215,1,Mostly Plains,0.013539865499,84.1623414439815,2.0639202166061,13.5103123787758,0.2498860951376
12_320895,2286.79968807077,1,Mostly Plains,0.1906091918745,77.8526655978994,4.5408240761894,13.4777144376218,3.9381866964151
12_321768,788.156499093851,1,Mostly Plains,0,76.3080941837374,3.6253461601905,18.5859840000563,1.4805756560158
12_322030,1635.94602797401,1,Mostly Plains,0.0661376307612,75.7479058709924,4.1902598909593,16.0045614269839,3.9911351803032
12_322313,1073.76514787433,1,Mostly Plains,1.2668584313277,79.8804530921036,2.3744057250906,15.4120964436613,1.0661863078167
12_322520,973.068287967354,1,Mostly Plains,0.1341902424563,79.8578575846285,4.8743021752211,14.0992673441067,1.0343826535874
12_322937,1333.0396862799,1,Mostly Plains,0.1957749213939,82.963013821213,5.9593549435208,9.6421936482603,1.2396626656121
12_332579,1131.39953860647,1,Mostly Plains,0,84.6652757182917,2.6060442036425,10.0427900949021,2.6858899831636
12_332770,1578.59613269177,1,Mostly Plains,0.7658512364603,81.5189558192116,3.7528223934901,13.0363874877097,0.9259830631284
12_332771,1553.11385330919,1,Mostly Plains,0.2457951031672,82.9372618502992,4.3995631966218,11.089231897865,1.3281479520468
12_332915,616.728572107351,1,Mostly Plains,0,78.4630648663933,1.2438602153256,18.8362310675284,1.4568438507527
12_333288,1121.74591910627,1,Mostly Plains,0.5823838896123,85.4511493294409,2.4910429029459,11.3698918216915,0.1055320563091
12_333447,860.977701493012,1,Mostly Plains,0.0114602579689,85.6137282174374,2.2082175757731,11.3131385606786,0.853455388142
12_333663,1140.09099797238,1,Mostly Plains,0.2905074754149,87.5088152188831,0.7744185124789,10.745921970392,0.6803368228312
12_339510,1515.07622309521,1,Mostly Plains,0.0488020481991,86.5694512579161,4.8137837221585,7.0883228483437,1.4796401233826
12_342256,2790.26305636274,3,Broad Plains and Slopes,12.7895481725859,50.2240990665201,10.6797926141491,18.5154761817402,7.7910839650047
12_344879,847.832509348225,0,Broad Sloppy and Hilly,11.981506688852,16.6177187850131,10.5943310074144,40.3734386185352,20.4330049001853
12_346952,1183.77779311985,1,Mostly Plains,2.5615919739866,78.6946899427484,5.7425702467134,8.8854754173992,4.1156724191525
12_347489,2184.93131838042,3,Broad Plains and Slopes,9.9378346677299,51.4482299632438,10.0201056593125,20.3758648191201,8.2179648905934
12_349095,1330.38563420805,1,Mostly Plains,1.84335435134,84.4001313647051,2.8709263672302,9.3514384300561,1.5341494866687
12_349531,1528.04531365146,3,Broad Plains and Slopes,7.6473853573537,63.3912306581576,9.0120209910183,13.1925253326827,6.7568376607878
12_351003,1814.11484804651,3,Broad Plains and Slopes,8.1411807794097,61.4091441468776,9.7521818941809,13.6444395288757,7.0530536506557
12_352646,1055.6270144001,1,Mostly Plains,5.5244008896209,74.7485276466185,5.2850692148702,10.5457028623604,3.89629938653
12_353231,2685.99326652816,1,Mostly Plains,0.0327025414402,87.9766231408012,3.0839929536658,7.4315991670441,1.4750821970488
12_354480,857.18636458897,1,Mostly Plains,0.30433479541,88.2146537762954,1.4190623724573,9.7682133110841,0.2937357447533
12_354931,1436.97176782417,1,Mostly Plains,0.0153090341812,81.5928091216917,4.0786615205858,12.0091173894269,2.3041029341145
12_355341,1026.61899301905,1,Mostly Plains,0.019211611896,80.1518672374138,3.3904821160263,15.0169218776675,1.4215171569965
12_355643,1532.30342113614,1,Mostly Plains,0.234315590263,85.0202766229929,2.0698244595343,12.1706666528457,0.5049166743642
12_356033,1393.07117775461,1,Mostly Plains,0.0389202519498,84.6027532842138,3.562162991726,10.4232391891988,1.3729242829116
12_357203,859.187962091809,1,Mostly Plains,0.4043308269529,81.6202372973625,5.9774749403026,10.8887178919295,1.1092390434525
12_358090,2008.70958004863,1,Mostly Plains,0.4859616736174,77.0266292270263,5.6094060057659,14.3308841745094,2.5471189190812
12_358494,773.153397562718,1,Mostly Plains,0,88.3364130468173,1.9571104145306,8.6181064321073,1.0883701065448
12_359307,2374.47380086082,1,Mostly Plains,2.9966692679323,73.9866856847256,4.0813862774896,15.9112458935025,3.02401287635
12_364736,1165.85104763025,3,Broad Plains and Slopes,6.4489506386519,38.9413184706184,11.3740944997407,31.783113393836,11.452522997153
12_365066,2214.45021666035,3,Broad Plains and Slopes,7.4602105752351,44.317219576216,11.7068734833378,25.4058143540544,11.1098820111568
12_365251,1406.0725188371,3,Broad Plains and Slopes,4.0668152104264,69.0470677963991,6.7166693152348,14.1809980660716,5.988449611868
12_365593,610.230564274043,3,Broad Plains and Slopes,5.1246379680997,64.639717804226,7.834089220141,9.0281636131766,13.3733913943567
12_365856,5550.60967096641,1,Mostly Plains,0.5118099831084,84.6889157787296,2.507743620966,10.107255167575,2.184275449621
12_366744,1803.44970568353,3,Broad Plains and Slopes,9.8197934832873,47.479978366325,11.928440311208,10.2060527027132,20.5657351364666
12_367323,711.156476018083,1,Mostly Plains,0,85.981131864048,3.3468517362382,10.4641804773986,0.2078359223153
12_368442,1461.66163997808,1,Mostly Plains,0.0184280592804,88.1605972926881,3.929616913581,6.7587901752945,1.132567559156
12_369944,1789.51269354127,1,Mostly Plains,1.6377892186883,82.0227217601122,3.1447720807481,12.0777090410215,1.1170078994297
